join_id,user_id,act_id,datetime
130,82,15,2023-07-09 10:00:00
131,84,15,2023-07-09 10:00:00
132,91,15,2023-07-09 10:00:00
133,100,15,2023-07-09 10:00:00
134,2,6,2023-07-09 19:00:00
135,16,6,2023-07-09 19:00:00
136,61,6,2023-07-09 19:00:00
137,70,6,2023-07-09 19:00:00
138,84,6,2023-07-09 19:00:00
139,57,28,2023-07-10 08:00:00
140,70,28,2023-07-10 08:00:00
141,2,7,2023-07-10 10:00:00
142,12,7,2023-07-10 10:00:00
143,19,7,2023-07-10 10:00:00
144,46,7,2023-07-10 10:00:00
145,86,7,2023-07-10 10:00:00
146,89,7,2023-07-10 10:00:00
147,63,27,2023-07-10 13:00:00
148,92,27,2023-07-10 13:00:00
149,9,24,2023-07-11 07:00:00
150,15,24,2023-07-11 07:00:00
151,44,24,2023-07-11 07:00:00
152,64,24,2023-07-11 07:00:00
153,86,24,2023-07-11 07:00:00
154,87,24,2023-07-11 07:00:00
155,39,26,2023-07-11 10:00:00
156,40,26,2023-07-11 10:00:00
157,54,26,2023-07-11 10:00:00
158,61,26,2023-07-11 10:00:00
159,64,26,2023-07-11 10:00:00
160,65,26,2023-07-11 10:00:00
161,69,26,2023-07-11 10:00:00
162,70,26,2023-07-11 10:00:00
163,72,26,2023-07-11 10:00:00
164,78,26,2023-07-11 10:00:00
165,82,26,2023-07-11 10:00:00
166,90,26,2023-07-11 10:00:00
167,91,26,2023-07-11 10:00:00
168,97,26,2023-07-11 10:00:00
169,33,16,2023-07-11 15:00:00
170,37,16,2023-07-11 15:00:00
171,50,16,2023-07-11 15:00:00
172,78,16,2023-07-11 15:00:00
173,32,8,2023-07-11 16:00:00
174,44,8,2023-07-11 16:00:00
175,53,8,2023-07-11 16:00:00
176,84,8,2023-07-11 16:00:00
177,98,8,2023-07-11 16:00:00
178,100,10,2023-07-11 19:00:00
179,51,9,2023-07-12 08:00:00
180,56,9,2023-07-12 08:00:00
181,86,9,2023-07-12 08:00:00
182,16,11,2023-07-14 19:00:00
183,19,11,2023-07-14 19:00:00
184,61,11,2023-07-14 19:00:00
185,64,11,2023-07-14 19:00:00
186,65,11,2023-07-14 19:00:00
187,70,11,2023-07-14 19:00:00
188,72,11,2023-07-14 19:00:00
189,75,11,2023-07-14 19:00:00
190,63,12,2023-07-15 13:00:00
191,2,14,2023-07-16 21:00:00
192,54,14,2023-07-16 21:00:00
193,94,14,2023-07-16 21:00:00
194,16,13,2023-07-18 13:00:00
195,39,13,2023-07-18 13:00:00
196,44,13,2023-07-18 13:00:00
197,64,13,2023-07-18 13:00:00
